,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
19,03/07/21,Kentucky,4819.0,13,19457.0,19457.0,558.0,6,,0,410709.0,525,0,48145.0,0,3975672.0,0,0,414200.0,4962.0,6310.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,03/07/21,Louisiana,9748.0,32,,,532.0,0,5261679.0,20578,433785.0,740,0,415954.0,0,5695464.0,21318,0,433785.0,9748.0,6662.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
21,03/07/21,Massachusetts,16417.0,43,19713.0,19713.0,665.0,0,4404792.0,8028,591356.0,1425,0,508745.0,0,16825551.0,96578,9309,591356.0,16417.0,7718.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
22,03/07/21,Maryland,7955.0,14,35651.0,35651.0,818.0,79,3034546.0,2050,387319.0,709,0,9703.0,0,8097590.0,33128,2759,387501.0,7955.0,7366.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
23,03/07/21,Maine,706.0,2,1570.0,1570.0,67.0,4,,0,45794.0,159,0,12840.0,0,1660180.0,7490,0,45794.0,706.0,7014.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
24,03/07/21,Michigan,16658.0,0,,,866.0,0,,0,656072.0,0,0,549881.0,0,10621967.0,0,0,655983.0,16647.0,8070.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
25,03/07/21,Minnesota,6550.0,4,25978.0,25978.0,224.0,2,3058514.0,8218,490011.0,895,0,476055.0,25369,7111428.0,25369,8998,490079.0,6618.0,8422.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
26,03/07/21,Missouri,8161.0,0,,,955.0,0,1878583.0,2950,480643.0,291,0,,0,4565866.0,10659,3241,520401.0,8608.0,9126.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
27,03/07/21,Northern Marianas,2.0,0,4.0,4.0,,0,17429.0,0,145.0,1,0,29.0,0,17574.0,1,0,,,,,,,,,,,,,,,,,,,,,,
28,03/07/21,Mississippi,6808.0,3,9162.0,9162.0,419.0,0,1459374.0,0,297581.0,260,0,278162.0,0,1756955.0,260,0,297581.0,6808.0,8774.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
29,03/07/21,Montana,1381.0,0,4630.0,4630.0,63.0,1,,0,100914.0,72,0,97943.0,0,1104488.0,3132,0,100968.0,1382.0,9478.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
